Date,Downloads
2006-01,90
2006-02,53
2006-03,79
2006-04,131
2006-05,373
2006-06,589
2006-07,565
2006-08,588
2006-09,872
2006-10,938
2006-11,860
2006-12,1112
2007-01,842
2007-02,988
2007-03,1199
2007-04,913
2007-05,854
2007-06,862
2007-07,747
2007-08,771
2007-09,991
2007-10,1049
2007-11,1067
2007-12,1100
2008-01,1163
2008-02,1124
2008-03,1354
2008-04,1225
2008-05,1172
2008-06,842
2008-07,754
2008-08,703
2008-09,1234
2008-10,1523
2008-11,2136
2008-12,1077
2009-01,954
2009-02,1158
2009-03,1301
2009-04,1014
2009-05,916
2009-06,790
2009-07,1028
2009-08,975
2009-09,1143
2009-10,1421
2009-11,1391
2009-12,1190
2010-01,1507
2010-02,1231
2010-03,1399
2010-04,1148
2010-05,1329
2010-06,941
2010-07,1142
2010-08,1390
2010-09,2075
2010-10,2475
2010-11,2496
2010-12,1646
2011-01,2253
2011-02,2359
2011-03,2085
2011-04,2145
2011-05,2511
2011-06,2132
2011-07,1618
2011-08,1727
2011-09,1895
2011-10,2977
2011-11,2437
2011-12,1713
2012-01,1971
2012-02,1970
2012-03,2236
2012-04,1748
2012-05,1542
2012-06,1046
2012-07,1258
2012-08,1454
2012-09,1685
2012-10,2376
2012-11,1966
2012-12,1095
2013-01,1898
2013-02,1716
2013-03,2033
2013-04,2115
2013-05,1722
2013-06,1669
2013-07,1619
2013-08,1436
2013-09,2062
2013-10,2212
2013-11,2102
2013-12,1557
2014-01,1808
2014-02,2101
2014-03,2189
2014-04,2179
2014-05,1954
2014-06,1689
2014-07,1524
2014-08,1359
2014-09,1592
2014-10,2022
2014-11,1896
2014-12,1579
2015-01,1488
2015-02,1945
2015-03,2310
2015-04,1948
2015-05,2004
2015-06,1486
2015-07,1194
2015-08,1310
2015-09,1911
2015-10,2349
2015-11,2054
2015-12,1542
2016-01,1706
2016-02,2386
2016-03,3568
2016-04,2733
2016-05,2073
2016-06,2179
2016-07,2055
2016-08,1634
2016-09,2228
2016-10,2400
2016-11,2550
2016-12,1549
2017-01,1272
2017-02,1719
2017-03,2471
2017-04,1707
2017-05,1687
2017-06,1667
2017-07,1159
2017-08,1156
2017-09,1356
2017-10,1820
2017-11,1937
2017-12,1215
